datas,labels
"[[[ 21  35  31]
  [ 15  29  31]
  [  6  20  31]
  ...
  [ 35  42  57]
  [ 37  43  56]
  [ 38  44  55]]

 [[ 24  37  33]
  [ 16  29  32]
  [  5  18  30]
  ...
  [ 33  41  56]
  [ 41  48  61]
  [ 45  52  64]]

 [[ 28  40  36]
  [ 19  30  33]
  [  5  16  29]
  ...
  [ 30  41  55]
  [ 47  56  69]
  [ 58  66  78]]

 ...

 [[ 25  25 194]
  [ 28  27 201]
  [ 33  30 212]
  ...
  [ 19  15 217]
  [ 17  12 212]
  [ 15  10 208]]

 [[ 25  24 211]
  [ 27  26 216]
  [ 30  28 223]
  ...
  [ 17  12 212]
  [ 16  10 207]
  [ 16   9 204]]

 [[ 25  24 222]
  [ 26  25 225]
  [ 28  27 230]
  ...
  [ 15  10 208]
  [ 15   9 204]
  [ 16   8 202]]]",[1. 0. 0.]
"[[[ 20  44  90]
  [ 39  64 113]
  [ 70  97 151]
  ...
  [ 44  62 100]
  [ 29  43  80]
  [ 20  32  68]]

 [[ 15  39  84]
  [ 35  61 109]
  [ 69  97 150]
  ...
  [ 43  62  99]
  [ 29  42  79]
  [ 20  31  67]]

 [[  4  29  73]
  [ 28  54 102]
  [ 67  96 150]
  ...
  [ 43  62  99]
  [ 28  41  78]
  [ 19  29  66]]

 ...

 [[160 177 172]
  [164 181 175]
  [170 187 180]
  ...
  [221 209 201]
  [226 213 205]
  [229 215 208]]

 [[167 184 183]
  [169 187 184]
  [172 191 187]
  ...
  [220 210 200]
  [222 211 202]
  [223 212 203]]

 [[170 188 189]
  [171 190 189]
  [173 193 191]
  ...
  [220 210 200]
  [220 210 200]
  [220 210 200]]]",[1. 0. 0.]
"[[[133 163 182]
  [144 173 196]
  [133 159 188]
  ...
  [ 85 106 151]
  [ 89 109 155]
  [ 92 112 159]]

 [[132 164 186]
  [128 158 184]
  [109 135 167]
  ...
  [ 93 113 156]
  [ 93 113 158]
  [ 86 107 152]]

 [[130 164 187]
  [110 141 170]
  [ 84 111 145]
  ...
  [ 95 113 155]
  [ 90 109 152]
  [ 76  96 140]]

 ...

 [[  4   6  30]
  [  7   8  30]
  [  7   7  28]
  ...
  [  3   5  24]
  [  5   9  30]
  [ 11  15  39]]

 [[  3   6  30]
  [  6   7  30]
  [  6   7  29]
  ...
  [  1   1  22]
  [  6   9  31]
  [ 13  19  44]]

 [[  1   5  30]
  [  4   7  31]
  [  5   7  31]
  ...
  [  1   3  27]
  [  5   9  35]
  [ 12  19  46]]]",[1. 0. 0.]
"[[[ 14   7  12]
  [ 13   6  10]
  [ 12   5   8]
  ...
  [  8  10  35]
  [  5   6  37]
  [  3   4  38]]

 [[ 15   8  13]
  [ 13   6  11]
  [ 12   4  10]
  ...
  [ 11  12  40]
  [  8   9  41]
  [  6   6  42]]

 [[ 14   6  14]
  [ 13   5  12]
  [ 12   5  11]
  ...
  [ 14  16  45]
  [ 12  13  49]
  [  8   9  50]]

 ...

 [[ 17   2 197]
  [ 17   2 198]
  [ 17   3 198]
  ...
  [ 20   3 216]
  [ 20   5 218]
  [ 22   9 220]]

 [[ 19   5 193]
  [ 18   3 193]
  [ 16   2 193]
  ...
  [ 20   1 217]
  [ 22   3 221]
  [ 25   7 225]]

 [[ 34  20 198]
  [ 23   8 189]
  [ 14   1 183]
  ...
  [ 20   1 217]
  [ 23   3 223]
  [ 27   6 228]]]",[1. 0. 0.]
"[[[ 28  32  33]
  [ 51  58  62]
  [ 63  70  80]
  ...
  [  6   5   7]
  [ 31  31  31]
  [ 10  10  10]]

 [[ 40  45  46]
  [ 62  68  75]
  [ 75  83  94]
  ...
  [  8   7  10]
  [ 72  72  72]
  [  3   3   3]]

 [[ 46  51  54]
  [ 72  78  86]
  [ 84  91 106]
  ...
  [ 13  12  15]
  [ 84  83  84]
  [  6   6   6]]

 ...

 [[ 19  12  11]
  [ 21  12   8]
  [ 29  18  10]
  ...
  [ 64  38  22]
  [ 60  31  16]
  [ 62  33  18]]

 [[ 17  10  15]
  [ 20  12  12]
  [ 30  19  13]
  ...
  [ 57  30  16]
  [ 60  31  17]
  [ 68  39  25]]

 [[ 16  11  15]
  [ 18  10  10]
  [ 27  15  10]
  ...
  [ 56  29  15]
  [ 68  39  25]
  [ 77  48  34]]]",[1. 0. 0.]
"[[[ 37  37  38]
  [ 30  29  31]
  [ 31  30  32]
  ...
  [ 28  36  44]
  [ 14  19  23]
  [ 16  17  17]]

 [[ 30  32  32]
  [ 26  28  29]
  [ 24  25  29]
  ...
  [ 35  43  51]
  [ 13  18  22]
  [ 18  19  19]]

 [[ 27  29  30]
  [ 11  13  14]
  [ 21  23  24]
  ...
  [ 39  47  55]
  [ 15  20  23]
  [ 17  19  19]]

 ...

 [[125 121 122]
  [126 121 122]
  [129 124 125]
  ...
  [120 141 172]
  [118 139 170]
  [119 141 169]]

 [[133 129 130]
  [132 127 128]
  [128 123 124]
  ...
  [124 145 176]
  [123 145 176]
  [120 143 172]]

 [[134 130 130]
  [132 127 128]
  [130 124 125]
  ...
  [123 144 175]
  [126 147 178]
  [122 146 176]]]",[1. 0. 0.]
"[[[ 26  27  36]
  [ 12  14  22]
  [ 11  13  21]
  ...
  [  3   6  10]
  [ 21  22  32]
  [ 42  41  57]]

 [[ 16  18  27]
  [ 11  13  21]
  [ 11  13  21]
  ...
  [  1   4   8]
  [  6   7  17]
  [ 35  34  49]]

 [[ 12  13  22]
  [ 11  13  21]
  [ 10  12  20]
  ...
  [  0   2   6]
  [  0   0   9]
  [ 24  24  39]]

 ...

 [[244 211 192]
  [245 216 199]
  [246 219 205]
  ...
  [227 186 170]
  [181 139 123]
  [190 149 134]]

 [[157 113  82]
  [166 122  94]
  [182 142 117]
  ...
  [136  89  68]
  [158 115  98]
  [161 121 106]]

 [[204 158 130]
  [237 193 166]
  [221 178 155]
  ...
  [184 142 127]
  [160 125 118]
  [186 155 153]]]",[1. 0. 0.]
"[[[12 13 27]
  [ 9  9 21]
  [ 7 10 15]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 6  6  6]]

 [[12 13 27]
  [ 9  9 21]
  [ 6  9 14]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 5  5  5]]

 [[12 13 27]
  [ 9  9 21]
  [ 6  9 14]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 ...

 [[27 22 22]
  [30 25 27]
  [27 28 38]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[15 10 11]
  [17 12 13]
  [15 14 23]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[12  7  8]
  [11  6  7]
  [ 9  8 12]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]]",[1. 0. 0.]
"[[[38 37 39]
  [39 39 39]
  [39 39 39]
  ...
  [ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]]

 [[39 38 39]
  [38 38 38]
  [38 38 38]
  ...
  [ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]]

 [[39 38 40]
  [38 38 38]
  [30 30 30]
  ...
  [ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]]

 ...

 [[19 75 80]
  [23 88 92]
  [12 80 82]
  ...
  [15 62 66]
  [12 52 56]
  [15 48 52]]

 [[20 61 66]
  [19 70 74]
  [ 9 69 70]
  ...
  [14 57 59]
  [ 9 48 50]
  [ 8 42 44]]

 [[10 41 44]
  [14 48 49]
  [11 52 54]
  ...
  [14 31 33]
  [14 27 30]
  [18 29 31]]]",[1. 0. 0.]
"[[[  9  16  13]
  [  9  15  12]
  [  8  15  10]
  ...
  [207 211 227]
  [232 235 244]
  [246 249 254]]

 [[  8  17  14]
  [  8  17  14]
  [  9  17  14]
  ...
  [183 187 207]
  [224 227 238]
  [247 250 255]]

 [[ 10  18  13]
  [ 10  18  14]
  [ 10  18  15]
  ...
  [167 172 193]
  [218 221 233]
  [246 249 255]]

 ...

 [[150 148 165]
  [155 154 169]
  [165 164 177]
  ...
  [ 67 134  82]
  [ 59 125  74]
  [ 55 121  69]]

 [[241 240 250]
  [244 242 251]
  [248 247 254]
  ...
  [ 66 133  80]
  [ 64 128  76]
  [ 62 126  73]]

 [[253 251 255]
  [251 250 254]
  [248 247 253]
  ...
  [ 68 135  80]
  [ 74 137  82]
  [ 78 138  84]]]",[1. 0. 0.]
"[[[ 9 14 12]
  [ 3  5  5]
  [ 2  5  9]
  ...
  [ 0  4  8]
  [ 0  4  4]
  [ 1  3  3]]

 [[11 16 15]
  [ 3  6  6]
  [ 2  5 10]
  ...
  [ 0  4  9]
  [ 0  4  5]
  [ 1  3  3]]

 [[12 17 16]
  [ 4  6  7]
  [ 2  5 10]
  ...
  [ 0  4  9]
  [ 0  4  5]
  [ 1  3  3]]

 ...

 [[21 34 71]
  [33 45 84]
  [38 50 90]
  ...
  [15 36 88]
  [18 38 90]
  [25 43 95]]

 [[22 35 73]
  [35 47 86]
  [40 52 92]
  ...
  [14 34 86]
  [18 37 88]
  [25 42 93]]

 [[27 40 78]
  [39 51 91]
  [43 54 95]
  ...
  [17 34 86]
  [21 38 88]
  [24 41 92]]]",[1. 0. 0.]
"[[[  0   2  13]
  [  1   3  14]
  [  0   1  12]
  ...
  [  2   6  21]
  [  2   7  22]
  [  4   7  22]]

 [[  0   3  14]
  [  0   3  14]
  [  0   3  15]
  ...
  [  2   5  20]
  [  3   6  21]
  [  5   6  22]]

 [[  1   5  16]
  [  0   4  15]
  [  0   3  16]
  ...
  [  1   4  19]
  [  3   5  21]
  [  6   6  22]]

 ...

 [[ 92  91 185]
  [ 86  85 179]
  [ 75  74 169]
  ...
  [158 163 251]
  [156 164 249]
  [155 166 248]]

 [[103 102 196]
  [102 102 195]
  [ 87  87 181]
  ...
  [156 161 251]
  [155 163 249]
  [154 164 247]]

 [[107 108 198]
  [108 109 199]
  [ 97  99 191]
  ...
  [154 159 251]
  [153 160 248]
  [152 162 246]]]",[1. 0. 0.]
"[[[100 114 150]
  [104 119 159]
  [105 120 166]
  ...
  [ 95 104 180]
  [ 78  84 148]
  [ 45  46  97]]

 [[ 99 114 147]
  [104 119 157]
  [106 120 163]
  ...
  [ 99 107 179]
  [ 83  86 146]
  [ 46  44  91]]

 [[ 98 113 143]
  [102 117 152]
  [111 123 165]
  ...
  [105 112 177]
  [ 91  93 146]
  [ 60  56  98]]

 ...

 [[219 223 255]
  [183 190 227]
  [148 159 203]
  ...
  [152 168 218]
  [172 187 233]
  [192 206 245]]

 [[201 205 238]
  [167 174 210]
  [177 187 228]
  ...
  [136 151 202]
  [136 150 198]
  [160 174 218]]

 [[141 144 175]
  [172 179 213]
  [189 198 236]
  ...
  [135 149 200]
  [106 120 169]
  [117 131 179]]]",[1. 0. 0.]
"[[[ 97 124 214]
  [ 98 125 213]
  [101 127 212]
  ...
  [  3   3   7]
  [  1   1   4]
  [  0   0   3]]

 [[ 97 124 210]
  [ 97 124 209]
  [ 96 123 204]
  ...
  [  1   2   9]
  [  0   0   7]
  [  0   0   6]]

 [[ 96 122 205]
  [ 96 122 204]
  [ 97 121 200]
  ...
  [  1   0  10]
  [  2   1  10]
  [  2   1  10]]

 ...

 [[ 10  25  88]
  [ 10  25  88]
  [ 10  25  88]
  ...
  [134 142 149]
  [148 154 160]
  [152 158 163]]

 [[  9  24  87]
  [  9  24  87]
  [  9  24  86]
  ...
  [133 141 148]
  [147 154 159]
  [151 157 162]]

 [[  8  23  85]
  [  8  23  85]
  [  8  23  84]
  ...
  [137 143 150]
  [150 155 160]
  [154 158 163]]]",[1. 0. 0.]
"[[[224 231 248]
  [224 231 248]
  [222 229 246]
  ...
  [196 197 196]
  [199 199 199]
  [199 199 199]]

 [[224 231 248]
  [224 231 248]
  [222 229 246]
  ...
  [196 197 196]
  [199 199 199]
  [199 199 199]]

 [[225 231 249]
  [225 231 249]
  [223 229 247]
  ...
  [192 193 193]
  [195 195 196]
  [195 195 196]]

 ...

 [[  0   3  27]
  [  0   3  27]
  [ 15  19  45]
  ...
  [ 16  23  47]
  [ 18  25  50]
  [ 18  25  50]]

 [[  0   4  31]
  [  0   4  31]
  [ 15  21  49]
  ...
  [ 10  15  40]
  [ 12  17  42]
  [ 12  17  42]]

 [[  0   4  31]
  [  0   4  31]
  [ 15  21  49]
  ...
  [ 10  15  40]
  [ 12  17  42]
  [ 12  17  42]]]",[0. 1. 0.]
"[[[ 56  55  51]
  [ 56  55  51]
  [ 56  55  50]
  ...
  [ 87  94 137]
  [ 87  94 137]
  [ 87  94 137]]

 [[ 56  55  51]
  [ 56  55  51]
  [ 55  54  51]
  ...
  [ 87  94 137]
  [ 87  94 137]
  [ 87  94 137]]

 [[ 48  47  43]
  [ 48  47  43]
  [ 48  47  43]
  ...
  [ 82  91 134]
  [ 82  91 133]
  [ 82  91 133]]

 ...

 [[153 159 192]
  [153 159 192]
  [153 158 190]
  ...
  [ 38  46  61]
  [ 39  46  62]
  [ 39  46  62]]

 [[153 160 193]
  [153 160 193]
  [152 159 191]
  ...
  [ 41  49  64]
  [ 42  49  64]
  [ 42  49  64]]

 [[153 160 193]
  [153 160 193]
  [152 159 191]
  ...
  [ 41  49  64]
  [ 42  49  64]
  [ 42  49  64]]]",[0. 1. 0.]
"[[[ 74 108  91]
  [ 74 108  91]
  [ 74 107  90]
  ...
  [  0   5  12]
  [  0   5  12]
  [  0   5  12]]

 [[ 74 108  91]
  [ 74 108  91]
  [ 74 107  90]
  ...
  [  0   5  12]
  [  0   5  12]
  [  0   5  12]]

 [[ 78 112  95]
  [ 78 112  95]
  [ 77 111  95]
  ...
  [  0   4  13]
  [  0   4  12]
  [  0   4  12]]

 ...

 [[ 40  53  52]
  [ 40  53  52]
  [ 41  54  53]
  ...
  [ 35  48  87]
  [ 37  50  88]
  [ 37  50  88]]

 [[ 39  51  51]
  [ 39  51  51]
  [ 40  52  52]
  ...
  [ 36  49  88]
  [ 38  51  89]
  [ 38  51  89]]

 [[ 39  51  51]
  [ 39  51  51]
  [ 40  52  52]
  ...
  [ 36  49  88]
  [ 38  51  89]
  [ 38  51  89]]]",[0. 1. 0.]
"[[[135 137 167]
  [135 137 167]
  [135 137 167]
  ...
  [173 182 215]
  [173 182 215]
  [173 182 215]]

 [[135 137 167]
  [135 137 167]
  [135 137 167]
  ...
  [173 182 215]
  [173 182 215]
  [173 182 215]]

 [[133 135 165]
  [133 135 165]
  [133 135 165]
  ...
  [169 179 212]
  [169 179 212]
  [169 179 212]]

 ...

 [[  0   0  15]
  [  0   0  15]
  [  0   0  15]
  ...
  [  1   1  38]
  [  1   1  38]
  [  1   1  38]]

 [[  0   0  15]
  [  0   0  15]
  [  0   0  15]
  ...
  [  1   1  37]
  [  1   1  37]
  [  1   1  37]]

 [[  0   0  15]
  [  0   0  15]
  [  0   0  15]
  ...
  [  1   1  37]
  [  1   1  37]
  [  1   1  37]]]",[1. 0. 0.]
"[[[202 199 208]
  [202 199 208]
  [202 199 208]
  ...
  [ 90  97 112]
  [ 90  97 112]
  [ 90  97 112]]

 [[202 199 208]
  [202 199 208]
  [202 199 208]
  ...
  [ 90  97 112]
  [ 90  97 112]
  [ 90  97 112]]

 [[199 196 206]
  [199 196 206]
  [199 196 206]
  ...
  [ 87  93 109]
  [ 87  93 109]
  [ 87  93 109]]

 ...

 [[137 138 163]
  [137 138 163]
  [137 138 163]
  ...
  [ 41  60  95]
  [ 41  60  95]
  [ 41  60  95]]

 [[136 137 163]
  [136 137 163]
  [136 137 163]
  ...
  [ 39  58  93]
  [ 39  58  93]
  [ 39  58  93]]

 [[136 137 163]
  [136 137 163]
  [136 137 163]
  ...
  [ 39  58  93]
  [ 39  58  93]
  [ 39  58  93]]]",[1. 0. 0.]
"[[[33 41 56]
  [25 30 43]
  [30 32 43]
  ...
  [30 29 47]
  [21 21 29]
  [20 25 28]]

 [[28 38 51]
  [25 32 45]
  [20 26 37]
  ...
  [44 42 62]
  [25 26 35]
  [19 25 28]]

 [[19 31 41]
  [22 32 42]
  [14 22 33]
  ...
  [41 42 64]
  [27 28 40]
  [25 29 34]]

 ...

 [[49 60 63]
  [52 61 64]
  [56 65 68]
  ...
  [60 67 71]
  [63 70 73]
  [57 64 67]]

 [[53 66 67]
  [46 58 60]
  [58 67 70]
  ...
  [64 71 74]
  [68 73 76]
  [62 67 68]]

 [[45 60 62]
  [42 56 58]
  [43 56 58]
  ...
  [58 63 66]
  [64 69 70]
  [59 64 65]]]",[1. 0. 0.]
"[[[167 202 216]
  [160 194 209]
  [149 182 197]
  ...
  [ 86 120 175]
  [ 82 114 168]
  [ 78 110 162]]

 [[165 200 213]
  [156 189 204]
  [143 176 192]
  ...
  [ 88 119 174]
  [ 84 116 170]
  [ 82 114 167]]

 [[161 196 210]
  [152 186 201]
  [139 171 189]
  ...
  [ 88 119 174]
  [ 88 118 173]
  [ 87 118 171]]

 ...

 [[214 203 205]
  [200 189 191]
  [190 178 184]
  ...
  [116 138 186]
  [120 148 199]
  [119 152 201]]

 [[207 195 193]
  [195 181 182]
  [175 164 171]
  ...
  [115 139 190]
  [123 151 201]
  [125 156 201]]

 [[190 178 175]
  [178 164 164]
  [160 146 153]
  ...
  [108 135 186]
  [118 150 201]
  [120 155 204]]]",[0. 1. 0.]
"[[[ 24  21  20]
  [ 19  20  20]
  [ 14  17  19]
  ...
  [ 19  25  38]
  [ 15  11  12]
  [  8   8  11]]

 [[ 22  20  23]
  [ 18  19  19]
  [ 14  14  16]
  ...
  [ 18  24  37]
  [ 15  10  12]
  [  7   7  11]]

 [[ 27  29  37]
  [ 24  23  24]
  [ 16  16  14]
  ...
  [ 21  27  40]
  [ 17  13  14]
  [  9   9  12]]

 ...

 [[141 147 160]
  [126 142 167]
  [115 140 177]
  ...
  [247 247 253]
  [250 248 246]
  [244 248 188]]

 [[143 147 159]
  [132 144 165]
  [118 140 172]
  ...
  [245 255 247]
  [248 250 252]
  [250 244 251]]

 [[144 148 160]
  [135 146 164]
  [123 140 167]
  ...
  [244 251 254]
  [244 248 247]
  [248 250 246]]]",[1. 0. 0.]
"[[[38 28 35]
  [39 31 39]
  [41 33 45]
  ...
  [48 50 58]
  [53 52 53]
  [48 48 48]]

 [[41 31 37]
  [39 31 39]
  [37 30 41]
  ...
  [47 49 59]
  [46 48 51]
  [47 47 47]]

 [[39 32 37]
  [45 37 46]
  [39 33 46]
  ...
  [49 55 72]
  [41 43 46]
  [38 38 38]]

 ...

 [[46 44 44]
  [49 46 48]
  [42 39 42]
  ...
  [28 27 29]
  [33 33 33]
  [24 24 24]]

 [[55 53 53]
  [43 40 42]
  [41 38 41]
  ...
  [30 30 32]
  [35 35 35]
  [22 22 22]]

 [[49 46 48]
  [41 38 40]
  [35 31 35]
  ...
  [34 33 35]
  [31 30 32]
  [16 16 16]]]",[1. 0. 0.]
"[[[156 178 209]
  [103 111 125]
  [ 54  61  75]
  ...
  [ 25  25  25]
  [ 25  25  26]
  [ 35  37  38]]

 [[136 160 196]
  [ 89  96 114]
  [ 57  66  79]
  ...
  [ 25  29  26]
  [ 25  24  28]
  [ 33  35  36]]

 [[119 139 179]
  [ 68  78  92]
  [ 62  72  86]
  ...
  [ 32  31  30]
  [ 25  24  26]
  [ 30  30  31]]

 ...

 [[131 167 211]
  [122 158 204]
  [116 155 207]
  ...
  [ 89  97 114]
  [ 93 103 121]
  [ 69  78  91]]

 [[132 169 214]
  [124 162 210]
  [107 147 201]
  ...
  [ 80  91 105]
  [ 86  96 114]
  [ 67  76  89]]

 [[135 174 217]
  [123 162 205]
  [109 148 203]
  ...
  [ 80  88 106]
  [ 76  86 103]
  [ 65  77  86]]]",[1. 0. 0.]
"[[[ 31  39  52]
  [ 34  43  59]
  [ 37  48  70]
  ...
  [108 132 190]
  [103 128 187]
  [ 96 124 184]]

 [[ 35  42  59]
  [ 38  46  66]
  [ 41  50  76]
  ...
  [101 128 186]
  [ 98 125 183]
  [ 93 121 181]]

 [[ 41  46  67]
  [ 42  50  75]
  [ 46  55  84]
  ...
  [ 95 122 180]
  [ 94 121 178]
  [ 92 119 176]]

 ...

 [[ 69  94 130]
  [ 64  89 124]
  [ 60  84 115]
  ...
  [102 136 184]
  [104 135 186]
  [104 134 189]]

 [[ 62  82 117]
  [ 57  78 108]
  [ 53  73  99]
  ...
  [103 135 191]
  [104 133 190]
  [101 131 186]]

 [[ 52  70 101]
  [ 48  66  94]
  [ 44  61  85]
  ...
  [107 134 198]
  [105 131 194]
  [ 97 128 183]]]",[1. 0. 0.]
"[[[ 25  25  25]
  [ 21  21  22]
  [ 23  23  24]
  ...
  [175 170 149]
  [181 177 159]
  [189 186 168]]

 [[ 24  24  24]
  [ 21  20  22]
  [ 23  22  23]
  ...
  [170 166 145]
  [179 175 157]
  [187 182 164]]

 [[ 26  26  26]
  [ 23  23  24]
  [ 26  25  26]
  ...
  [165 161 142]
  [177 173 155]
  [185 180 164]]

 ...

 [[104 129 179]
  [ 98 120 168]
  [ 84 106 148]
  ...
  [ 87  93  96]
  [ 89  96  96]
  [ 91  99  98]]

 [[105 130 180]
  [ 99 119 167]
  [ 87 107 149]
  ...
  [ 84  91  96]
  [ 86  95  96]
  [ 89  98  98]]

 [[105 130 180]
  [101 121 170]
  [ 93 111 157]
  ...
  [ 82  91  97]
  [ 84  96  98]
  [ 86  98 100]]]",[0. 1. 0.]
"[[[ 85  98 120]
  [ 78  89 105]
  [ 69  79  91]
  ...
  [120 103 115]
  [119 101 115]
  [117  98 113]]

 [[ 85  98 120]
  [ 78  89 107]
  [ 70  80  92]
  ...
  [119 102 114]
  [118  99 113]
  [115  96 111]]

 [[ 86  98 122]
  [ 80  90 109]
  [ 72  81  94]
  ...
  [118 102 112]
  [116  99 111]
  [113  95 109]]

 ...

 [[ 33  38  47]
  [ 26  29  38]
  [ 19  22  31]
  ...
  [ 32  30  30]
  [ 31  29  29]
  [ 31  29  29]]

 [[ 29  34  41]
  [ 22  25  32]
  [ 17  18  25]
  ...
  [ 31  29  29]
  [ 30  28  28]
  [ 29  27  27]]

 [[ 26  29  34]
  [ 19  20  24]
  [ 14  13  19]
  ...
  [ 30  27  27]
  [ 29  27  27]
  [ 28  26  26]]]",[1. 0. 0.]
"[[[ 11  12  10]
  [ 10  11   9]
  [ 10  11   9]
  ...
  [129 138 168]
  [124 130 175]
  [110 116 169]]

 [[ 10  12  12]
  [  9  10  10]
  [  8  10   9]
  ...
  [126 133 157]
  [128 135 172]
  [116 123 168]]

 [[  9  11  11]
  [  8  10  10]
  [  8  10  10]
  ...
  [119 124 142]
  [133 140 166]
  [127 137 169]]

 ...

 [[223 202 180]
  [208 189 166]
  [177 158 135]
  ...
  [221 189 168]
  [221 190 169]
  [217 187 166]]

 [[223 202 179]
  [216 195 173]
  [194 173 149]
  ...
  [221 189 166]
  [221 190 167]
  [223 192 169]]

 [[223 201 176]
  [223 201 176]
  [209 187 162]
  ...
  [219 187 163]
  [221 190 165]
  [222 192 167]]]",[1. 0. 0.]
"[[[129 145 181]
  [128 143 182]
  [125 141 183]
  ...
  [185 193 193]
  [185 193 193]
  [184 192 192]]

 [[128 141 178]
  [130 141 181]
  [125 141 182]
  ...
  [184 193 193]
  [184 193 193]
  [184 193 193]]

 [[126 136 173]
  [128 138 178]
  [127 140 181]
  ...
  [183 193 193]
  [183 192 194]
  [183 192 194]]

 ...

 [[111 123 161]
  [103 114 154]
  [ 97 108 150]
  ...
  [124 142 167]
  [123 142 165]
  [122 142 163]]

 [[111 120 157]
  [104 112 150]
  [ 98 108 146]
  ...
  [ 77  89 110]
  [ 77  89 108]
  [ 74  87 105]]

 [[106 115 150]
  [103 111 148]
  [100 109 147]
  ...
  [ 28  34  48]
  [ 28  31  46]
  [ 27  30  45]]]",[1. 0. 0.]
"[[[148 152 176]
  [136 141 170]
  [125 131 165]
  ...
  [193 189 191]
  [197 191 193]
  [198 193 194]]

 [[143 147 172]
  [132 138 165]
  [123 129 162]
  ...
  [192 190 192]
  [196 192 194]
  [199 194 195]]

 [[142 146 171]
  [132 138 165]
  [125 131 164]
  ...
  [192 190 193]
  [196 193 194]
  [199 194 195]]

 ...

 [[ 34  21  13]
  [ 33  22  16]
  [ 30  20  17]
  ...
  [189 182 185]
  [189 183 185]
  [190 184 185]]

 [[ 36  24  14]
  [ 28  18  10]
  [ 23  16  11]
  ...
  [189 182 185]
  [189 183 185]
  [190 184 185]]

 [[ 69  53  41]
  [ 44  32  21]
  [ 28  20  12]
  ...
  [188 182 183]
  [189 184 184]
  [190 185 184]]]",[1. 0. 0.]
"[[[136 146 176]
  [142 151 182]
  [149 157 186]
  ...
  [198 197 201]
  [197 195 201]
  [196 194 200]]

 [[137 146 179]
  [143 153 184]
  [151 159 189]
  ...
  [199 197 201]
  [200 198 202]
  [197 195 201]]

 [[138 149 182]
  [144 153 186]
  [154 159 191]
  ...
  [199 195 197]
  [201 198 200]
  [199 195 199]]

 ...

 [[247 223 204]
  [247 223 204]
  [250 225 206]
  ...
  [222 197 181]
  [220 193 176]
  [222 194 178]]

 [[247 223 203]
  [247 223 203]
  [246 222 202]
  ...
  [223 198 182]
  [222 195 178]
  [224 196 179]]

 [[246 222 202]
  [247 223 203]
  [246 222 202]
  ...
  [225 200 183]
  [226 198 181]
  [226 198 181]]]",[1. 0. 0.]
"[[[ 61  70  83]
  [ 71  82  97]
  [ 86 100 119]
  ...
  [ 71  75 100]
  [ 91  96 121]
  [104 109 134]]

 [[ 68  79  92]
  [ 79  90 107]
  [ 94 107 129]
  ...
  [103 108 141]
  [118 125 156]
  [127 135 166]]

 [[ 78  88 104]
  [ 88  99 118]
  [104 115 140]
  ...
  [129 135 177]
  [138 146 185]
  [144 152 191]]

 ...

 [[ 62  60  60]
  [ 87  85  86]
  [126 123 128]
  ...
  [255 239 226]
  [254 238 223]
  [253 237 221]]

 [[ 37  34  32]
  [ 57  54  53]
  [ 89  85  86]
  ...
  [254 239 226]
  [254 238 224]
  [254 238 223]]

 [[ 19  14  11]
  [ 32  27  25]
  [ 53  48  47]
  ...
  [253 240 226]
  [253 239 225]
  [254 238 225]]]",[1. 0. 0.]
"[[[ 11  13  21]
  [ 11  12  20]
  [ 13  11  20]
  ...
  [186 187 198]
  [184 186 197]
  [184 186 197]]

 [[ 13  15  23]
  [ 12  13  21]
  [ 13  12  20]
  ...
  [186 187 198]
  [184 186 196]
  [184 186 196]]

 [[ 14  16  24]
  [ 14  14  23]
  [ 14  13  21]
  ...
  [185 187 197]
  [184 186 196]
  [184 186 196]]

 ...

 [[203 178 153]
  [202 177 151]
  [202 177 151]
  ...
  [186 162 139]
  [187 163 141]
  [187 163 141]]

 [[201 176 152]
  [199 174 150]
  [198 174 148]
  ...
  [183 158 135]
  [182 157 135]
  [181 156 134]]

 [[198 174 150]
  [196 172 148]
  [195 170 146]
  ...
  [181 154 130]
  [178 151 129]
  [176 149 128]]]",[1. 0. 0.]
"[[[ 64  66  67]
  [ 60  62  63]
  [ 47  49  53]
  ...
  [142 143 140]
  [141 142 138]
  [141 142 138]]

 [[ 51  53  55]
  [ 47  50  53]
  [ 37  40  45]
  ...
  [142 144 140]
  [140 142 138]
  [140 142 138]]

 [[ 29  31  36]
  [ 27  30  35]
  [ 22  24  32]
  ...
  [141 144 141]
  [139 143 138]
  [138 142 137]]

 ...

 [[198 182 170]
  [199 182 170]
  [201 182 171]
  ...
  [211 183 176]
  [210 182 175]
  [210 182 174]]

 [[201 183 171]
  [201 183 171]
  [202 182 171]
  ...
  [210 182 173]
  [208 180 171]
  [207 180 171]]

 [[203 183 172]
  [203 183 172]
  [202 182 171]
  ...
  [209 182 172]
  [206 180 170]
  [206 179 169]]]",[1. 0. 0.]
